Number,Read,Write,RWRatio
10050955,2214,1603,58:42
10050956,2179,1374,61:39
10050957,1095,732,59:41
10050958,2519,1955,56:44
10050959,2675,1792,59:41
10050960,0,0,0
10050961,2246,1552,59:41
10050962,2002,1187,62:38
10050963,2398,1672,58:42
10050964,2750,1942,58:42
10050965,2667,1898,58:42
10050966,0,0,0
10050967,1895,1337,58:42
10050968,2194,1686,56:44
10050969,2541,1729,59:41
10050970,2509,1297,65:35
10050971,0,0,0
10050972,2763,1819,60:40
10050973,2444,1585,60:40
10050974,2701,2039,56:44
10050975,1441,1139,55:45
10050976,1799,1380,56:44
10050977,2422,1340,64:36
10050978,3057,1723,63:37
10050979,1837,1043,63:37
10050980,2735,2103,56:44
10050981,1769,1262,58:42
10050982,2452,1752,58:42
10050983,2821,1555,64:36
10050984,3103,2155,59:41
10050985,2442,1771,57:43
10050986,3055,1848,62:38
10050987,2197,1663,56:44
10050988,2602,1901,57:43
10050989,0,0,0
10050990,2074,1433,59:41
10050991,1188,946,55:45
10050992,2412,1906,55:45
10050993,2452,1817,57:43
10050994,2265,1502,60:40
10050995,2466,1520,61:39
10050996,2126,1504,58:42
10050997,2872,1841,60:40
10050998,2765,1844,59:41
10050999,3153,1668,65:35
10051000,3123,1493,67:33
10051001,2603,1972,56:44
10051002,2490,1614,60:40
10051003,2638,1658,61:39
10051004,4826,2489,65:35
10051005,2387,1337,64:36
10051006,2817,1732,61:39
10051007,2549,1454,63:37
10051008,2057,1759,53:47
10051009,2511,1564,61:39
10051010,2914,1607,64:36
10051011,2610,1847,58:42
10051012,2665,1962,57:43
10051013,2851,2296,55:45
10051014,0,0,0
10051015,2842,2250,55:45
10051016,2501,1635,60:40
